year_founded,category_code,country_code,business
1878,CAT11,DZA,Hamoud Boualem
1968,CAT10,BEN,Communaut lectrique du Bnin
1965,CAT1,BWA,Botswana Meat Commission
1967,CAT2,BFA,Air Burkina
1955,CAT9,BDI,Brarudi
1947,CAT1,CMR,Cameroon Development Corporation
1849,CAT16,CPV,Correios de Cabo Verde
1946,CAT3,CAF,Banque Internationale pour la Centrafrique
1971,CAT1,TCD,Cotontchad
1981,CAT3,COM,Central Bank of the Comoros
1889,CAT2,COD,Socit nationale des Chemins de fer du Congo
1975,CAT3,COG,Development Bank of the Central African States
1945,CAT16,CIV,La Poste
1901,CAT2,DJI,Ethio-Djibouti Railways
1854,CAT2,EGY,Egyptian National Railways
1996,CAT2,GNQ,Guinea Ecuatorial Airlines
1939,CAT9,ERI,Asmara Brewery
1906,CAT3,ETH,National Bank of Ethiopia
1971,CAT3,GAB,BGFIBank Group
1962,CAT15,GIN,Halco Mining
1973,CAT16,GNB,Correios da Guin-Bissau
1896,CAT3,KEN,KCB Group Limited
1978,CAT3,LSO,Central Bank of Lesotho
1921,CAT2,LBR,National Port Authority
1907,CAT3,LBY,Umma Bank
1962,CAT2,MDG,Air Madagascar
1964,CAT13,MWI,Malawi Broadcasting Corporation
1957,CAT13,MLI,Office de Radiodiffusion-Tlvision du Mali
1973,CAT3,MRT,Central Bank of Mauritania
1772,CAT16,MUS,Mauritius Post
1904,CAT3,MAR,Attijariwafa Bank
1892,CAT2,MOZ,Beira Railroad Corporation
1814,CAT16,NAM,NamPost
1960,CAT13,NER,Office of Radio and Television of Niger
1894,CAT3,NGA,First Bank of Nigeria
1922,CAT16,RWA,National Post Office
1975,CAT3,STP,Central Bank of So Tom and Prncipe
1924,CAT2,SEN,DakarNiger Railway
1977,CAT2,SYC,Air Seychelles
1917,CAT3,SLE,Rokel Commercial Bank
1943,CAT13,SOM,Radio Mogadishu
1820,CAT12,ZAF,Premier FMCG
1994,CAT3,SSD,Ivory Bank
1913,CAT3,SDN,Bank of Khartoum
1963,CAT2,SWZ,Swazi Rail
1933,CAT9,TZA,Tanzania Breweries Limited
1883,CAT16,TGO,La Poste du Togo
1847,CAT16,TUN,La Poste Tunisienne
1906,CAT3,UGA,Stanbic Bank Uganda Limited
1896,CAT16,ZMB,ZamPost
1892,CAT3,ZWE,Standard Chartered Zimbabwe
1930,CAT1,AFG,Spinzar Cotton Company
1858,CAT2,AZE,Azerbaijan Caspian Shipping Company
1883,CAT17,BHR,BMMI
1820,CAT11,BGD,M M Ispahani Limited
1959,CAT2,BTN,Tashi Group
1947,CAT17,BRN,Hua Ho Department Store
1954,CAT3,KHM,National Bank of Cambodia
1153,CAT4,CHN,Ma Yu Chings Bucket Chicken House
1903,CAT3,GEO,Bank of Georgia
1736,CAT12,IND,Wadia Group
1808,CAT8,IDN,Pindad
1928,CAT10,IRQ,North Oil Company
1914,CAT4,ISR,Caf Abu Salem
578,CAT6,JPN,Kong Gumi
1930,CAT3,JOR,Arab Bank
1913,CAT15,KAZ,Bogatyr Access Komir
1890,CAT17,KWT,MH Alshaya Co
1959,CAT10,LAO,Electricite du Laos
1830,CAT3,LBN,Bank Audi
1800,CAT16,MYS,Pos Malaysia
1931,CAT13,MNG,Mongolian National Broadcaster
1948,CAT2,MMR,Myanmar National Airlines
1937,CAT3,NPL,Nepal Bank Limited
1945,CAT2,PRK,Kim Chong-tae Electric Locomotive Works
1937,CAT10,OMN,Petroleum Development Oman
1841,CAT5,PAK,House of Habib
1853,CAT9,PHL,Destileria Limtuaco
1952,CAT5,QAT,Salam International Investment Limited
1721,CAT7,RUS,Petrodvorets Watch Factory
1845,CAT6,SAU,House of Alireza
1819,CAT16,SGP,Singapore Post
1885,CAT18,KOR,KT Corporation
1835,CAT11,LKA,George Steuart Group
1885,CAT4,SYR,Bakdash
1897,CAT3,TWN,Bank of Taiwan
1878,CAT5,THA,BGrimm Group
1939,CAT12,ARE,Liwa Chemicals
1932,CAT12,UZB,Tashkent Aviation Production Association
1881,CAT2,VNM,Vietnam Railways
1962,CAT2,YEM,Yemenia Airways
1912,CAT18,ALB,ALBtelecom
1930,CAT3,AND,Andbank
1877,CAT9,ARM,Yerevan Ararat Brandy-Wine-Vodka Factory
803,CAT4,AUT,St Peter Stifts Kulinarium
1864,CAT9,BLR,Olivaria Brewery
1074,CAT9,BEL,Affligem Brewery
1864,CAT9,BIH,Sarajevska Pivara
1878,CAT8,BGR,Arsenal AD
1729,CAT12,HRV,Kraljevica Shipyard
1899,CAT3,CYP,Bank of Cyprus
1348,CAT9,CZE,Pivovar Broumov
1135,CAT12,DNK,Munke Mlle
886,CAT12,GBR,The Royal Mint
1422,CAT14,EST,Raeapteek
1649,CAT7,FIN,Fiskars
864,CAT12,FRA,Monnaie de Paris
862,CAT9,DEU,StaffelterHof Winery
1606,CAT3,GRC,Piraeus Bank
1790,CAT9,HUN,Zwack
1776,CAT16,ISL,slandspstur
900,CAT4,IRL,Seans Bar
1040,CAT12,ITA,Marinelli Bell Foundry
1999,CAT13,XK,Meridian Corporation
1590,CAT9,LVA,Csu Alus
1861,CAT3,LIE,National Bank of Liechtenstein
1665,CAT9,LTU,Gubernija
1511,CAT9,LUX,Mousel
1882,CAT3,MLT,HSBC Bank Malta
1841,CAT16,MNE,Pota Crne Gore
1340,CAT9,NLD,The Brand Brewery
1873,CAT7,MKD,Tutunski kombinat Prilep
1647,CAT16,NOR,Posten Norge
1248,CAT15,POL,Bochnia Salt Mine
1520,CAT16,PRT,CTT-Correios de Portugal SA
1878,CAT9,ROU,Ursus Breweries
1756,CAT9,SRB,Apatin Brewery
1328,CAT12,SVK,Kremnica Mint
1467,CAT19,SVN,Gostilna Gastu
1218,CAT1,ESP,Casa de Ganaderos
1346,CAT12,SWE,Skyllbergs bruk
1230,CAT19,CHE,Gasthof Sternen
1584,CAT19,TUR,emberlita Hamam
1250,CAT12,UKR,Drohobych salt plant
1703,CAT9,BRB,Mount Gay Rum
1902,CAT3,BLZ,Belize Bank
1670,CAT17,CAN,Hudsons Bay Company
1908,CAT9,CRI,Florida Ice and Farm Company
1929,CAT2,CUB,Cubana de Aviacin
1909,CAT13,DMA,The Chronicle Dominica
1891,CAT3,SLV,HSBC El Salvador
1920,CAT11,GTM,Corporacin Multi Inversiones
1862,CAT9,HTI,Rhum Barbancourt
1870,CAT2,HND,National Railroad of Honduras
1770,CAT19,JAM,Rose Hall
1534,CAT12,MEX,La Casa de Moneda de Mxico
1890,CAT9,NIC,Flor de Caa
1904,CAT3,PAN,National Bank of Panama
1938,CAT3,LCA,1st National Bank of St Lucia
1830,CAT9,TTO,House of Angostura
1638,CAT1,USA,Shirley Plantation
1822,CAT3,ARG,Bank of the Province of Buenos Aires
1871,CAT3,BOL,Banco Nacional de Bolivia
1694,CAT12,BRA,Casa da Moeda do Brasil
1811,CAT8,CHL,Famae
1621,CAT12,COL,Casa de Moneda de Colombia
1840,CAT11,GUY,Banks DIH
1565,CAT3,PER,Casa Nacional de Moneda
1877,CAT4,URY,Cafe Brasilero
1660,CAT11,VEN,Hacienda Chuao
1809,CAT16,AUS,Australia Post
1861,CAT3,NZL,Bank of New Zealand
1991,CAT3,VUT,European Trust Company
